epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.39494,2.13337,3.96817,2.09704,0.00334,1,0.03275,0.01271,1.47064,4.34118,1.82623,0,0,0
2,11.4914,2.21967,3.83146,1.95805,0.00334,1,0.02867,0.01198,1.44064,4.30952,1.81501,1.22525e-05,1.22525e-05,1.22525e-05
3,16.1857,2.264,3.55675,2.51697,0.00335,1,0.0309,0.01499,1.46963,4.18931,1.80109,2.401e-05,2.401e-05,2.401e-05
4,20.8845,1.807,3.44181,1.41175,0.00336,1,0.06032,0.0348,1.43857,4.10238,1.7663,3.52725e-05,3.52725e-05,3.52725e-05
5,25.5097,1.98455,3.88479,1.76023,0.00336,1,0.34439,0.10839,1.25029,4.11903,1.68439,4.604e-05,4.604e-05,4.604e-05
6,30.0914,1.67617,3.70387,1.90683,0.00337,1,0.39524,0.1686,1.09565,4.09389,1.63658,5.63125e-05,5.63125e-05,5.63125e-05
7,34.5341,1.53504,3.4273,1.72694,0.0034,1,0.41458,0.21517,0.98523,4.03851,1.57942,6.609e-05,6.609e-05,6.609e-05
8,39.0466,1.64285,3.49862,1.89428,0.00344,1,0.41458,0.27955,0.96614,4.0106,1.54381,7.53725e-05,7.53725e-05,7.53725e-05
9,43.5511,1.23744,3.38053,1.33301,0.0035,1,0.38142,0.26285,0.95606,4.03531,1.53543,8.416e-05,8.416e-05,8.416e-05
10,48.3345,1.14189,3.48087,1.41633,0.00355,1,0.51823,0.33374,0.97305,3.98352,1.52529,9.24525e-05,9.24525e-05,9.24525e-05
11,53.0461,1.42294,3.36643,1.5451,0.00362,1,0.55969,0.36691,0.98733,3.95037,1.50272,0.00010025,0.00010025,0.00010025
12,57.8831,1.00963,3.18795,1.25993,0.00371,1,0.45604,0.31508,1.01456,3.96748,1.49007,0.000107553,0.000107553,0.000107553
13,62.4899,1.1019,3.07291,1.28628,0.00388,1,0.53896,0.36898,1.01305,3.96101,1.44528,0.00011436,0.00011436,0.00011436
14,67.1689,1.1419,3.60566,1.55118,0.00407,1,0.53896,0.3441,1.01465,4.01421,1.44765,0.000120672,0.000120672,0.000120672
15,72.0269,1.05598,2.93684,1.24793,0.00431,1,0.53896,0.34825,0.97996,3.97126,1.43921,0.00012649,0.00012649,0.00012649
16,76.5183,1.18406,2.93108,1.32502,0.00435,1,0.53896,0.33759,1.02299,3.97816,1.4262,0.000131813,0.000131813,0.000131813
17,81.0124,0.91242,2.81834,1.26432,0.00465,1,0.41458,0.29021,1.00011,3.93526,1.39844,0.00013664,0.00013664,0.00013664
18,85.7625,0.86822,2.77291,1.18232,0.00465,1,0.41458,0.29021,1.00011,3.93526,1.39844,0.000140972,0.000140972,0.000140972
19,90.5338,0.85571,2.6078,1.08003,0.0049,1,0.45604,0.3242,0.99579,3.86264,1.4178,0.00014481,0.00014481,0.00014481
